StudentID,Gender,Grade,Arrests,Suspended,Expelled,cluster
1,0,12,0,0,0,1
2,0,12,0,0,0,1
3,0,11,0,0,0,1
4,1,10,0,0,0,1
5,0,11,0,0,0,1
6,0,11,0,0,0,1
7,1,12,0,0,0,1
8,0,12,0,0,0,1
9,1,12,0,0,0,1
10,1,10,0,0,0,1
11,0,11,0,0,0,1
12,1,11,0,0,0,1
13,1,10,0,0,0,1
14,0,11,0,0,0,1
15,1,10,0,0,0,1
16,1,11,0,0,0,1
17,1,10,0,0,0,1
18,1,10,0,0,0,1
19,0,12,0,0,0,1
20,0,10,0,0,0,1
21,0,12,0,0,0,1
22,0,10,0,0,0,1
23,1,12,0,0,0,1
24,1,12,0,0,0,1
25,0,10,0,0,0,1
26,1,12,0,0,0,1
27,0,12,0,0,0,1
28,1,11,0,0,0,1
29,0,10,0,0,0,1
30,0,10,0,0,0,1
31,1,12,0,0,0,1
32,1,11,0,0,0,1
33,1,11,0,0,0,1
34,0,12,0,0,0,1
35,1,11,0,0,0,1
36,1,12,0,0,0,1
37,1,12,0,0,0,1
38,0,10,0,0,0,1
39,0,11,0,0,0,1
40,1,11,0,0,0,1
41,1,12,0,0,0,1
42,0,12,0,0,0,1
43,1,12,0,0,0,1
44,1,11,0,0,0,1
45,0,10,0,0,0,1
46,0,10,0,0,0,1
47,0,11,0,0,0,1
48,0,10,0,0,0,1
49,1,10,0,0,0,1
50,0,12,0,0,0,1
51,0,12,0,0,0,1
52,0,10,0,0,0,1
53,0,12,0,0,0,1
54,1,12,0,0,0,1
55,1,11,0,0,0,1
56,0,10,0,0,0,1
57,0,12,0,0,0,1
58,0,12,0,0,0,1
59,1,10,0,0,0,1
60,0,11,0,0,0,1
61,0,12,0,0,0,1
62,0,12,0,0,0,1
63,1,10,0,0,0,1
64,1,11,0,0,0,1
65,0,12,0,0,0,1
66,1,10,0,0,0,1
67,0,10,0,0,0,1
68,1,11,0,0,0,1
69,1,11,0,0,0,1
70,1,12,0,0,0,1
71,0,11,0,0,0,1
72,0,12,0,0,0,1
73,1,12,0,0,0,1
74,0,10,0,0,0,1
75,1,12,0,0,0,1
76,1,12,0,0,0,1
77,0,10,0,0,0,1
78,1,12,0,0,0,1
79,1,11,0,0,0,1
80,1,11,0,0,0,1
81,1,10,0,0,0,1
82,0,11,0,0,0,1
83,0,10,0,0,0,1
84,0,11,0,0,0,1
85,1,11,0,0,0,1
86,0,10,0,0,0,1
87,1,11,0,0,0,1
88,1,10,0,0,0,1
89,0,10,0,0,0,1
90,1,12,0,0,0,1
91,1,10,0,0,0,1
92,1,12,0,0,0,1
93,0,10,0,0,0,1
94,1,12,0,0,0,1
95,1,12,0,0,0,1
96,0,11,0,0,0,1
97,0,12,0,0,0,1
98,0,11,0,0,0,1
99,1,11,0,0,0,1
100,0,10,0,0,0,1
101,0,11,0,0,0,1
102,1,10,0,0,0,1
103,1,11,0,0,0,1
104,1,10,0,0,0,1
105,1,10,0,0,0,1
106,1,10,0,0,0,1
107,0,12,0,0,0,1
108,0,11,0,0,0,1
109,1,11,0,0,0,1
110,0,10,0,0,0,1
111,0,10,0,0,0,1
112,0,10,0,0,0,1
113,0,12,0,0,0,1
114,1,12,0,0,0,1
115,0,12,0,0,0,1
116,0,10,0,0,0,1
117,1,10,0,0,0,1
118,0,12,0,0,0,1
119,1,11,0,0,0,1
120,1,10,0,0,0,1
121,1,12,0,0,0,1
122,1,12,0,0,0,1
123,1,12,0,0,0,1
124,0,12,0,0,0,1
